"Var1","Freq"
"SCN1A",228
"ALDH7A1",62
"CASR",32
"DEPDC5",32
"EPM2A",26
"KCNT1",26
"SLC6A1",26
"AFG2A",24
"GABRG2",24
"NPRL3",24
"SCN9A",24
"GABRB3",20
"CNTNAP2",18
"ASAH1",12
"GABRA1",10
"LGI1",10
"SLC35A3",10
"STXBP1",10
"CLN8",8
"DEAF1",8
"GRIN2A",8
"KCNC1",8
"PIGQ",8
"SCARB2",8
"SCN2A",8
"SYN1",8
"ATN1",6
"CLCN2",6
"CSTB",6
"GOSR2",6
"KCNQ2",6
"KCTD7",6
"NHLRC1",6
"PLPBP",6
"SCN1B",6
"SLC2A1",6
"ACTL6B",4
"CHRNB2",4
"KCNB1",4
"KCNK4",4
"NPRL2",4
"RELN",4
"RORB",4
"SLC32A1",4
"SPTAN1",4
"STX1B",4
"TBC1D24",4
"ATP1A2",2
"CACNA1A",2
"CNTN2",2
"DDHD2",2
"DIAPH1",2
"DPM2",2
"GRIN2B",2
"HACE1",2
"HCN1",2
"HCN2",2
"IER3IP1",2
"KCNMA1",2
"NACC1",2
"NPR2",2
"NUS1",2
"PCDH19",2
"POLG",2
"PRICKLE1",2
"PRRT2",2
"RORA",2
"SCN1A-AS1;LOC102724058;SCN1A",2
"SCN1A;SCN1A-AS1",2
"SCN3A",2
"SCN8A",2
"SEMA6B",2
"SETD1A",2
"SNX27",2
"SPAG1",2
"SYNGAP1",2
"TMEM63B",2
"TRAPPC4",2
"TRAPPC6B",2
"covers 12 genes, none of which curated to show dosage sensitivity",1
"subset of 108 genes: PRRT2",1
